time[YYYY-MM-DD hh:mm:ss PST], water_salinity, water_electrical_conductivity, water_temperature
"2012/06/01 01:36:36", 5.543, 0.771, 13.855
"2012/06/01 01:36:39", 5.563, 0.774, 13.855
"2012/06/01 01:36:42", 5.658, 0.786, 13.855
"2012/06/01 01:36:45", 5.708, 0.793, 13.852
"2012/06/01 01:36:48", 5.724, 0.795, 13.850
"2012/06/01 01:36:51", 5.784, 0.802, 13.848
"2012/06/01 01:36:54", 5.744, 0.797, 13.846
"2012/06/01 01:36:57", 5.697, 0.791, 13.847
"2012/06/01 01:37:00", 5.796, 0.804, 13.848
"2012/06/01 01:45:36", 4.702, 0.663, 13.961
"2012/06/01 01:45:39", 4.735, 0.668, 13.952
"2012/06/01 01:45:42", 4.586, 0.648, 13.945
"2012/06/01 01:45:45", 4.390, 0.622, 13.943
"2012/06/01 01:45:48", 4.252, 0.604, 13.948
"2012/06/01 01:45:51", 4.235, 0.602, 13.954
"2012/06/01 01:45:54", 4.273, 0.607, 13.958
"2012/06/01 01:45:57", 4.271, 0.606, 13.960
"2012/06/01 01:48:36", 12.127, 1.576, 13.394
"2012/06/01 01:48:39", 12.628, 1.634, 13.359
"2012/06/01 01:48:42", 12.942, 1.670, 13.321
"2012/06/01 01:48:45", 13.161, 1.695, 13.284
"2012/06/01 01:48:48", 13.293, 1.709, 13.253
"2012/06/01 01:48:51", 13.420, 1.723, 13.227
"2012/06/01 01:48:54", 13.571, 1.740, 13.205
"2012/06/01 01:48:57", 13.597, 1.742, 13.184
"2012/06/01 01:49:01", 13.503, 1.730, 13.167
"2012/06/01 01:51:36", 11.737, 1.522, 13.209
"2012/06/01 01:51:39", 11.770, 1.527, 13.216
"2012/06/01 01:51:42", 11.829, 1.534, 13.217
"2012/06/01 01:51:45", 11.655, 1.513, 13.216
"2012/06/01 01:51:48", 11.160, 1.454, 13.222
"2012/06/01 01:51:51", 10.539, 1.379, 13.240
"2012/06/01 01:51:54", 10.105, 1.328, 13.270
"2012/06/01 01:51:57", 9.995, 1.315, 13.301
"2012/06/01 01:52:00", 10.063, 1.324, 13.325
"2012/06/01 01:54:40", 4.192, 0.596, 13.979
"2012/06/01 01:54:42", 4.123, 0.587, 13.984
"2012/06/01 01:54:45", 4.084, 0.582, 13.989
"2012/06/01 01:54:48", 4.120, 0.587, 13.995
"2012/06/01 01:54:51", 4.138, 0.589, 13.998
"2012/06/01 01:54:54", 4.019, 0.573, 14.000
"2012/06/01 01:54:57", 3.927, 0.561, 14.006
"2012/06/01 01:57:36", 3.037, 0.442, 14.109
"2012/06/01 01:57:39", 2.995, 0.436, 14.109
"2012/06/01 01:57:42", 2.995, 0.436, 14.109
"2012/06/01 01:57:45", 3.029, 0.441, 14.109
"2012/06/01 01:57:48", 3.064, 0.446, 14.108
"2012/06/01 01:57:51", 3.026, 0.441, 14.107
"2012/06/01 01:57:54", 2.953, 0.431, 14.108
"2012/06/01 01:57:57", 2.891, 0.422, 14.110
"2012/06/01 02:00:39", 3.601, 0.518, 14.046
"2012/06/01 02:00:42", 3.510, 0.506, 14.046
"2012/06/01 02:00:45", 3.394, 0.490, 14.048
"2012/06/01 02:00:48", 3.276, 0.474, 14.052
"2012/06/01 02:00:51", 3.179, 0.461, 14.059
"2012/06/01 02:00:54", 3.127, 0.454, 14.065
"2012/06/01 02:00:57", 3.072, 0.446, 14.071
"2012/06/01 02:01:01", 3.052, 0.444, 14.075
"2012/06/01 02:01:03", 3.041, 0.442, 14.079
"2012/06/01 02:01:06", 3.043, 0.443, 14.082
"2012/06/01 02:01:10", 3.051, 0.444, 14.084
"2012/06/01 02:01:12", 3.086, 0.448, 14.086
"2012/06/01 02:01:15", 3.098, 0.450, 14.086
"2012/06/01 02:01:18", 3.117, 0.453, 14.086
"2012/06/01 02:01:21", 3.176, 0.461, 14.086
"2012/06/01 02:01:25", 3.211, 0.466, 14.085
"2012/06/01 02:01:27", 3.195, 0.463, 14.083
"2012/06/01 02:01:30", 3.160, 0.459, 14.082
"2012/06/01 02:01:33", 3.196, 0.464, 14.082
"2012/06/01 02:01:36", 3.266, 0.473, 14.082
"2012/06/01 02:01:39", 3.283, 0.475, 14.079
"2012/06/01 02:01:42", 3.282, 0.475, 14.077
"2012/06/01 02:01:45", 3.267, 0.473, 14.076
"2012/06/01 02:01:48", 3.191, 0.463, 14.076
"2012/06/01 02:01:51", 3.147, 0.457, 14.077
"2012/06/01 02:01:54", 3.174, 0.460, 14.080
"2012/06/01 02:01:57", 3.228, 0.468, 14.082
"2012/06/01 02:02:00", 3.302, 0.478, 14.081
"2012/06/01 02:03:39", 4.955, 0.697, 13.984
"2012/06/01 02:03:42", 5.254, 0.736, 13.969
"2012/06/01 02:03:45", 5.610, 0.782, 13.950
"2012/06/01 02:03:48", 5.892, 0.818, 13.927
"2012/06/01 02:03:51", 6.149, 0.851, 13.906
"2012/06/01 02:03:54", 6.539, 0.900, 13.883
"2012/06/01 02:03:57", 6.894, 0.945, 13.857
"2012/06/01 02:04:00", 6.749, 0.926, 13.830
"2012/06/01 02:06:36", 11.652, 1.515, 13.279
"2012/06/01 02:06:39", 11.777, 1.529, 13.268
"2012/06/01 02:06:42", 12.064, 1.563, 13.253
"2012/06/01 02:06:45", 12.267, 1.587, 13.237
"2012/06/01 02:06:48", 12.313, 1.591, 13.218
"2012/06/01 02:06:51", 12.206, 1.578, 13.204
"2012/06/01 02:06:54", 12.138, 1.570, 13.199
"2012/06/01 02:06:57", 11.987, 1.552, 13.195
"2012/06/01 02:07:00", 11.782, 1.527, 13.197
"2012/06/01 02:09:36", 6.477, 0.888, 13.658
"2012/06/01 02:09:39", 5.940, 0.819, 13.686
"2012/06/01 02:09:42", 5.546, 0.769, 13.719
"2012/06/01 02:09:45", 5.344, 0.744, 13.753
"2012/06/01 02:09:48", 5.139, 0.718, 13.784
"2012/06/01 02:09:51", 4.987, 0.698, 13.809
"2012/06/01 02:09:54", 4.989, 0.699, 13.831
"2012/06/01 02:09:57", 5.054, 0.708, 13.847
"2012/06/01 02:12:39", 3.631, 0.523, 14.097
"2012/06/01 02:12:42", 3.608, 0.520, 14.100
"2012/06/01 02:12:45", 3.589, 0.517, 14.103
"2012/06/01 02:12:48", 3.604, 0.519, 14.105
"2012/06/01 02:12:51", 3.674, 0.529, 14.106
"2012/06/01 02:12:54", 3.707, 0.533, 14.106
"2012/06/01 02:12:57", 3.672, 0.528, 14.105
"2012/06/01 02:15:39", 2.837, 0.415, 14.147
"2012/06/01 02:15:42", 2.774, 0.406, 14.150
"2012/06/01 02:15:45", 2.757, 0.404, 14.153
"2012/06/01 02:15:48", 2.732, 0.401, 14.155
"2012/06/01 02:15:51", 2.708, 0.397, 14.157
"2012/06/01 02:15:54", 2.730, 0.400, 14.159
"2012/06/01 02:15:57", 2.696, 0.396, 14.160
"2012/06/01 02:18:39", 3.192, 0.463, 14.120
"2012/06/01 02:18:42", 3.245, 0.471, 14.117
"2012/06/01 02:18:46", 3.285, 0.476, 14.113
"2012/06/01 02:18:48", 3.288, 0.476, 14.110
"2012/06/01 02:18:51", 3.273, 0.474, 14.108
"2012/06/01 02:18:54", 3.248, 0.471, 14.107
"2012/06/01 02:18:57", 3.218, 0.467, 14.107
"2012/06/01 02:19:00", 3.205, 0.465, 14.108
"2012/06/01 02:21:39", 3.443, 0.497, 14.058
"2012/06/01 02:21:42", 3.437, 0.496, 14.058
"2012/06/01 02:21:45", 3.489, 0.503, 14.061
"2012/06/01 02:21:48", 3.701, 0.532, 14.063
"2012/06/01 02:21:51", 3.965, 0.567, 14.063
"2012/06/01 02:21:54", 4.216, 0.600, 14.056
"2012/06/01 02:21:57", 4.502, 0.638, 14.045
"2012/06/01 02:22:00", 4.708, 0.665, 14.031
"2012/06/01 02:24:39", 5.252, 0.734, 13.875
"2012/06/01 02:24:42", 5.313, 0.742, 13.881
"2012/06/01 02:24:45", 5.458, 0.761, 13.884
"2012/06/01 02:24:48", 5.631, 0.783, 13.881
"2012/06/01 02:24:51", 5.664, 0.787, 13.875
"2012/06/01 02:24:54", 5.525, 0.769, 13.871
"2012/06/01 02:24:57", 5.377, 0.750, 13.873
"2012/06/01 02:27:39", 6.138, 0.849, 13.887
"2012/06/01 02:27:42", 6.167, 0.852, 13.873
"2012/06/01 02:27:45", 5.952, 0.824, 13.863
"2012/06/01 02:27:48", 5.612, 0.781, 13.862
"2012/06/01 02:27:51", 5.349, 0.747, 13.871
"2012/06/01 02:27:54", 5.363, 0.749, 13.884
"2012/06/01 02:27:57", 5.573, 0.776, 13.892
"2012/06/01 02:30:39", 4.649, 0.656, 13.965
"2012/06/01 02:30:42", 4.933, 0.694, 13.973
"2012/06/01 02:30:45", 5.332, 0.746, 13.969
"2012/06/01 02:30:48", 5.655, 0.788, 13.956
"2012/06/01 02:30:51", 5.837, 0.811, 13.938
"2012/06/01 02:30:54", 5.804, 0.807, 13.922
"2012/06/01 02:30:57", 5.634, 0.784, 13.913
"2012/06/01 02:31:00", 5.695, 0.792, 13.911
"2012/06/01 02:33:39", 4.538, 0.643, 14.043
"2012/06/01 02:33:42", 4.519, 0.640, 14.040
"2012/06/01 02:33:45", 4.485, 0.636, 14.039
"2012/06/01 02:33:48", 4.361, 0.619, 14.039
"2012/06/01 02:33:51", 4.276, 0.608, 14.044
"2012/06/01 02:33:54", 4.173, 0.595, 14.050
"2012/06/01 02:33:57", 4.047, 0.578, 14.058
"2012/06/01 02:34:00", 4.020, 0.574, 14.065
"2012/06/01 02:36:39", 3.253, 0.472, 14.126
"2012/06/01 02:36:42", 3.336, 0.483, 14.127
"2012/06/01 02:36:45", 3.461, 0.500, 14.125
"2012/06/01 02:36:48", 3.526, 0.509, 14.121
"2012/06/01 02:36:51", 3.454, 0.499, 14.117
"2012/06/01 02:36:54", 3.398, 0.491, 14.116
"2012/06/01 02:36:57", 3.416, 0.494, 14.118
"2012/06/01 02:45:42", 2.533, 0.374, 14.200
"2012/06/01 02:45:45", 2.544, 0.375, 14.200
"2012/06/01 02:45:48", 2.551, 0.376, 14.199
"2012/06/01 02:45:51", 2.560, 0.377, 14.199
"2012/06/01 02:45:54", 2.573, 0.379, 14.199
"2012/06/01 02:45:57", 2.590, 0.381, 14.199
"2012/06/01 02:46:00", 2.609, 0.384, 14.199
"2012/06/01 02:48:42", 4.273, 0.608, 14.050
"2012/06/01 02:48:45", 4.285, 0.609, 14.046
"2012/06/01 02:48:48", 4.286, 0.610, 14.042
"2012/06/01 02:48:51", 4.297, 0.611, 14.039
"2012/06/01 02:48:54", 4.330, 0.615, 14.037
"2012/06/01 02:48:57", 4.368, 0.620, 14.035
"2012/06/01 02:49:00", 4.374, 0.621, 14.032
"2012/06/01 02:51:45", 4.525, 0.641, 13.996
"2012/06/01 02:51:48", 4.530, 0.641, 13.995
"2012/06/01 02:51:51", 4.567, 0.646, 13.994
"2012/06/01 02:51:54", 4.609, 0.652, 13.993
"2012/06/01 02:51:57", 4.628, 0.654, 13.990
